Station,Borough
33rd Street,Manhattan
34th Street-Herald Square,Manhattan
34th Street-Hudson Yards,Manhattan
34th Street-Penn Station,Manhattan
42nd Street-Bryant Park,Manhattan
42nd Street-Port Authority Bus Terminal,Manhattan
47th-50th Streets-Rockefeller Center,Manhattan
49th Street,Manhattan
51st Street,Manhattan
57th Street,Manhattan
57th Street-Seventh Avenue,Manhattan
59th Street-Columbus Circle,Manhattan
66th Street-Lincoln Center,Manhattan
68th Street-Hunter College,Manhattan
72nd Street,Manhattan
81st Street-Museum of Natural History,Manhattan
96th Street,Manhattan
103rd Street,Manhattan
110th Street,Manhattan
116th Street,Manhattan
116th Street-Columbia University,Manhattan
125th Street,Manhattan
135th Street,Manhattan
137th Street-City College,Manhattan
145th Street,Manhattan
155th Street,Manhattan
157th Street,Manhattan
163rd Street-Amsterdam Avenue,Manhattan
168th Street,Manhattan
175th Street,Manhattan
181st Street,Manhattan
190th Street,Manhattan
191st Street,Manhattan
207th Street,Manhattan
215th Street,Manhattan
Astor Place,Manhattan
Bleecker Street,Manhattan
Bowery,Manhattan
Bowling Green,Manhattan
Broad Street,Manhattan
Broadway-Lafayette Street,Manhattan
Brooklyn Bridge-City Hall,Manhattan
Canal Street,Manhattan
Central Park North-110th Street,Manhattan
Chambers Street,Manhattan
Christopher Street-Sheridan Square,Manhattan
City Hall,Manhattan
Cortlandt Street,Manhattan
Delancey Street,Manhattan
Dyckman Street,Manhattan
East Broadway,Manhattan
Essex Street,Manhattan
Franklin Street,Manhattan
Grand Central-42nd Street,Manhattan
Harlem-148th Street,Manhattan
Houston Street,Manhattan
Inwood-207th Street,Manhattan
Lexington Avenue/53rd Street,Manhattan
Lexington Avenue/59th Street,Manhattan
Lexington Avenue-63rd Street,Manhattan
Marble Hill-225th Street,Manhattan
Prince Street,Manhattan
Rector Street,Manhattan
Roosevelt Island,Manhattan
South Ferry,Manhattan
Spring Street,Manhattan
Times Square,Manhattan
Times Square-42nd Street,Manhattan
Wall Street,Manhattan
West Fourth Street-Washington Square,Manhattan
Whitehall Street-South Ferry,Manhattan
World Trade Center,Manhattan
WTC Cortlandt,Manhattan
